A (a),(ā),(eh´-ee)
anemone,ə-nəm′-ə-nē´,uh-neh′-moh-nee´
anemophilous,an´-ə-mof ′-il-əs,åh´-nih-mah′-fih-luh-s
anemoscope,ə-nəm′-ə-skōp´,uh-neh′-moh-skoh´-oo-p
anemoses,an´-ə-mō′-sēz,åh´-nih-moh′-oo-see-z
anemosis,an´-ə-mō′-sis,åh´-nih-moh′-oo-sih-s
anencephaly,an´-ən-səf ′-ə-li,åh´-neh-n-seh′-fuh-lee
anent,ə-nənt´,uh-neh´-n-t
aneroid,an´-ə-roid,åh´-nih-roh-ee-d
anesthesia,an´-əs-thē′-zhə,åh´-neh-s-thee′-zhuh
anesthesiologist(anesthesiologists),an´-əs-thē´-zē-ol′-ə-jist (s),åh´-neh-s-thee´-zee-ah′-luh-djih-st (s)
anesthesiology,an´-əs-thē´-zē-ol′-ə-ji,åh´-neh-s-thee´-zee-ah′-luh-djee
anesthetic,an´-əs-thət′-ik,åh´-neh-s-theh′-tih-k
anesthetical,an´-əs-thət′-ik-əl,åh´-neh-s-theh′-tih-kuh-l
anesthetically,an´-əs-thət′-ik-əl-li (kli),åh´-neh-s-theh′-tih-kuh-lee (klee)
anesthetist (anesthetists),an-əs´-thə-tist (s),åh-neh´-s-theh-tih-st (s)
anesthetize (anesthetized),an-əs′-thə-tīz´ (d),åh-neh′-s-theh-tah´-ee-z (d)
anesthetizes,an-əs′-thə-tīz´-ez,åh-neh′-s-theh-tah´-ee-zeh-z
anesthetizing,an-əs′-thə-tīz´-iŋ,åh-neh′-s-theh-tah´-ee-zih-eeng
anethole,an´-ə-thōl,åh´-neh-thoh-oo-l
aneurysm (aneurism),an′-yoor-iz'-m,åh′-n-yôô-rih´-zih-m
aneurysmal,an´-yoor-iz′-məl,åh´-n-yôô-rih′-z-muh-l
aneurysms (aneurisms),an′-yoor-iz'-mz,åh′-n-yôô-rih´-zih-m-z
anew,ə-nōō´ (ə-nū´),uh-noo´ (uh-nyoo´)
anfractuosities,an-frak´-chōō-os′-ə-tēz,åh´-n-fråh´-k-choo-ah′-sih-tee-z
anfractuosity,an-frak´-chōō-os′-ə-ti,åh´-n-fråh´-k-choo-ah′-sih-tee
anfractuous,an-frak´-chōō-əs,åh´-n-fråh´-k-choo-uh-s
angary,aŋ´-gə-ri,åh´-ng-guh-ree
Angel (angels),ān´-jəl (ān´-jəlz),eh´-ee-n-jeh-l (eh´-ee-n-jeh-l-z)
Angeleno (Angelenos),an´-jə-lē′-nō (z),åh´-n-jeh-lee′-noh-oo (z)
angelic,an-jəl´-ik,åh-n-jeh´-lih-k
angelica (angelical),an-jəl´-ik-ə (an-jəl´-ik-əl),åh-n-jeh´-lih-kuh (åh-n-jeh´-lih-kuh-l)
angelus,an´-jəl-əs,åh´-n-jeh-luh-s
anger (angers),aŋ´-gẽr (z),åh´-ng-gerh (z)
angered (angering),aŋ´-gẽrd (aŋ´-gẽr-iŋ),åh´-ng-gerh-d (åh´-ng-gerh-ih-eeng)
angina (anginal),an-jī´-nə (an-jī´-nəl),åh-n-jah´-ee-nuh (åh-n-jah´-ee-nuh-l)
angina pectoris,an-jī´-nə pək-tôr′-is,åh-n-jah´-ee-nuh peh-k-toh′-rih-s
anginose,an-jī´-nōs,åh-n-jah´-ee-noh-oo-s
anginous,an-jī´-nəs,åh-n-jah´-ee-nuh-s
angiocarpous,an´-ji-ə-kär′-pəs,åh´-n-jee-oh-kah′-erh-puh-s
angiograph,an′-ji-ə-graf ´,åh′-n-jee-oh-gråh´-f
angiography,an´-ji-og′-rə-fi,åh´-n-jee-ah′-gruh-fee
angiology,an´-ji-ol′-ə-ji,åh´-n-jee-ah′-luh-djee
angioma (angiomas),an-ji-ō´-mə (z),åh´-n-jee-oh′-oo-muh (z)
angiomata,an-ji-ō´-mə-tə,åh´-n-jee-oh′-oo-muh-tuh
angiomatous,an-ji-ō´-mə-təs,åh´-n-jee-oh′-oo-muh-tuh-s
angiosperm,an′-ji-ə-spẽrm´,åh′-n-jee-oh-sperh´-m
angiospermous,an′-ji-ə-spẽrm´-əs,åh′-n-jee-oh-sperh´-muh-s
angle (angles),aŋ´-g'l (z),åh´-ng-gôô-l (z)
angled,aŋ´-g'ld,åh´-ng-gôô-l-d
angler (anglers),aŋ´-glẽr (z),åh´-ng-glerh (z)
angle worm (worms),aŋ´-g'l wẽrm (z),åh´-ng-gôô-l werh-m (z)
Anglican,aŋ´-glə-kən,åh´-ng-glih-keh-n
anglicism,aŋ′-glə-siz´-‘m,åh′-ng-glih-sih´-zih-m
anglicist (anglicists),aŋ´-glə-sist (s),åh´-ng-glih-sih-st (s)
anglicization,aŋ´-glə-si-zā′-shən,åh´-ng-glih-sih-zeh′-ee-shuh-n
anglicize (anglicized),aŋ′-glə-sīz´ (d),åh′-ng-glih-sah´-ee-z (d)
anglicizes,aŋ′-glə-sīz´-ez,åh′-ng-glih-sah´-ee-zeh-z
anglicizing,aŋ′-glə-sīz´-iŋ,åh′-ng-glih-sah´-ee-zih-eeng
anglify,aŋ′-glə-f ī´,åh′-ng-glih-fah´-ee
angling,aŋ′-gliŋ,åh′-ng-glih-eeng
anglo-,aŋ´-glō-,åh´-ng-gloh-oo-
anglophile,aŋ′-glō-fīl´,åh′-ng-gloh-oo-fah´-ee-l
anglophobe,aŋ′-glō-fōb´,åh′-ng-gloh-oo-foh´-oo-b
anglophobia,aŋ´-glō-fōb′-i-ə,åh´-ng-gloh-oo-foh′-oo-bee-uh
Anglo-Saxon (Anglo-saxons),aŋ´-glō-saks′-ən (z),åh´-ng-gloh-oo-såh′-k-suh-n (z)
Angolan (Angolans),aŋ-gō´-lən (z),åh-ng-goh´-oo-leh-n (z)
Angora (angoras),aŋ-gôr´-ə (z),åh-ng-goh´-ruh (z)
angostura,aŋ´-gə-stũr′-ə,åh´-ng-goh-sterh′-uh
angrier (angriest),aŋ´-gri-ẽr (aŋ´-gri-est),åh´-ng-gree-erh (åh´-ng-gree-eh-st)
angrily,aŋ´-grə-li,åh´-ng-grih-lee
angriness,aŋ´-gri-nes,åh´-ng-gree-neh-s
angry,aŋ´-gri,åh´-ng-gree
angst,äŋst´,ah´-ng-st
angstrom,aŋ´-strəm,åh´-ng-struh-m
anguish,aŋ´-gwish,åh´-ng-gwih-sh
anguished,aŋ´-gwishd,åh´-ng-gwih-shd
anguishes,aŋ´-gwish-ez,åh´-ng-gwih-sheh-z
anguishing,aŋ´-gwish-iŋ,åh´-ng-gwih-shih-eeng
angular,aŋ´-gū-lẽr,åh´-ng-gyoo-lerh
angularity,aŋ´-gū-lâr′-ə-ti,åh´-ng-gyoo-leh′-rih-tee
angularness,aŋ´-gū-lẽr-nes,åh´-ng-gyoo-lerh-neh-s
angulate (angulates),aŋ′-gū-lāt´ (s),åh′-ng-gyoo-leh´-ee-t (s)
angulated,aŋ′-gū-lāt´-ed,åh′-ng-gyoo-leh´-ee-teh-d
angulating,aŋ′-gū-lāt´-iŋ,åh′-ng-gyoo-leh´-ee-tih-eeng
angulation,aŋ´-gū-lā′-shən,åh´-ng-gyoo-leh′-ee-shuh-n
angus (angus’),aŋ´-gəs (aŋ´-gəs-ez),åh´-ng-guh-s (åh´-ng-guh-seh-z)
anhedonia,an-hə-don´-yə,åh-n-heh-dah´-n-yuh
anhydride,an-hī´-drīd,åh-n-hah´-ee-drah-ee-d
anhydrite,an-hī´-drīt,åh-n-hah´-ee-druh-ee-t
anhydrous,an-hī´-drəs,åh-n-hah´-ee-druh-s
ani,ä´-nē,ah´-nee
aniline,an′-'l-ēn´,åh′-nih-lee´-n
animadversion,an´-ə-mad-vũr′-zhən,åh´-nih-måh-d-verh′-zhuh-n
animadvert,an´-ə-mad-vũrt′,åh´-nih-måh-d-verh′-t
animal (animals),an´-ə-məl (z),åh´-nih-muh-l (z)
animalcula,an´-ə-mal′-kū-lə,åh´-nih-måh′-l-kyoo-luh
animalcular,an´-ə-mal′-kū-lẽr,åh´-nih-måh′-l-kyoo-lerh
animalcule,an´-ə-mal′-kūl,åh´-nih-måh′-l-kyoo-l
animalculum,an´-ə-mal′-kū-ləm,åh´-nih-måh′-l-kyoo-luh-m
Animalia,an´-ə-māl′-i-ə,åh´-nih-meh′-ee-lee-uh
animalism,an′-ə-məl-iz´-‘m,åh′-nih-muh-lih´-zih-m
animalist (anamalists),an´-ə-məl-ist (s),åh´-nih-muh-lih-st (s)
animality,an´-ə-mal′-ə-ti,åh´-nih-måh′-lih-tee
animalization,an´-ə-mal-ə-zā′-shən,åh´-nih-muh-lih-zeh′-ee-shuh-n
animalize (animalized),an′-ə-məl-īz´(d),åh′-nih-muh-lah´-ee-z (d)
animalizes,an′-ə-məl-īz´-ez,åh′-nih-muh-lah´-ee-zeh-z
animalizing,an′-ə-məl-īz´-iŋ,åh′-nih-muh-lah´-ee-zih-eeng
animate,an′-ə-māt´,åh′-nih-meh´-ee-t
animated,an′-ə-māt´-ed,åh′-nih-meh´-ee-teh-d
animater (animaters),an′-ə-māt´-ẽr (z),åh′-nih-meh´-ee-terh (z)
animates,an′-ə-māts´,åh′-nih-meh´-ee-ts
animating,an′-ə-māt´-iŋ,åh′-nih-meh´-ee-tih-eeng
animatingly,an´-ə-māt′-iŋ-li,åh´-nih-meh′-ee-tih-eeng-lee
animation,an´-ə-mā′-shən,åh´-nih-meh′-ee-shuh-n
animations,an´-ə-mā′-shənz,åh´-nih-meh′-ee-shuh-n-z
animato,an´-ə-mä′-tō,åh´-nih-mah′-toh-oo
animator (animators),an′-ə-māt´-ẽr (z),åh′-nih-meh´-ee-terh (z)
animè (anime),an´-ə-mā (an´-ə-mē),åh´-nih-meh-ee (åh´-nih-mee)
animism,an´-ə-miz-’m,åh´-nih-mih-zih-m
animist (animists),an´-ə-mist (s),åh´-nih-mih-st (s)
animistic,an´-ə-mis′-tik,åh´-nih-mih′-stih-k
animosity,an´-ə-mos′-ə-ti,åh´-nih-mah′-sih-tee
animus,an´-ə-məs,åh´-nih-muh-s
anion,an′-ī´-ən,åh′-nah´-ee-uh-n
anionic,an´-ī-on′-ik,åh´-nah-ee-ah′-nih-k
anise,an´-is,åh´-nih-s
aniseed (aniseeds),an′-ə-sēd´ (z),åh′-nih-see´-d (z)
anisette,an´-is-ət′,åh´-nih-seh′-t
anisogamous,an´-ə-sog′-ə-məs,åh´-nih-sah′-guh-muh-s
anisometric,an-ə´-sə-mət′-rik,åh-nih´-suh-meh′-trih-k
anisotropic,an-ī´-sə-trop′-ik,åh-nah´-ee-suh-trah′-pih-k
ankerite,aŋk´-ẽr-īt,åh´-ng-kerh-uh-ee-t
ankh,aŋk,åh´-ng-k
ankle,aŋ´-k'l,åh´-ng-kôô-l
ankles,aŋ´-k'lz,åh´-ng-kôô-l-z
anklets,aŋ´-k-ləts,åh´-ng-kleh-ts
ankylosaur (ankylosaurs),aŋ′-kə-lō-sôr´ (z),åh′-ng-kih-oh-oo-soh´-erh (z)
ankylose,aŋ′-kə-lōs´,åh′-ng-kih-loh´-oo-s
ankylosed,aŋ′-kə-lōsd´,åh′-ng-kih-loh´-oo-sd
ankyloses,aŋ′-kə-lōs´-ez,åh′-ng-kih-loh´-oo-seh-z
ankylosing,aŋ´-kə-lōs′-iŋ,åh´-ng-kih-loh′-oo-sih-eeng
ankylosis,aŋ´-kə-lōs′-is,åh´-ng-kih-loh′ -oo-sih-s
ankylotic,aŋ´-kə-lot′-ik,åh´-ng-kih-lah′-tih-k
anlage,än´-lä-gə,ah´-n-lah-geh
anlagen,än´-lä-gən,ah´-n-lah-geh-n
anlages,än´-lä-gəs,ah´-n-lah-geh-s
annals,an´-əlz,åh´-nuh-l-z
annalist (annalists),an´-əl-ist (s),åh´-nuh-lih-st (s)
annalistic,an´-əl-ist′-ik,åh´-nuh-lih′-stih-k
annamese,an´-ə-mēz,åh´-nuh-mee-z
annatto,ə-nä´-tō,uh-nah´-toh-oo
anneal,ə-nēl´,uh-nee´-l
annelid,an´-ə-lid,åh´-neh-lih-d
annex,an´-əks (ə-nəks´),åh´-neh-ks (uh-neh´-ks)
annexed,an´-əksd (ə-nəksd´),åh´-neh-ksd (uh-neh´-ksd)
annexes,an´-ək-sez (ə-nəks´-ez),åh´-neh-k-seh-z (uh-neh´-k-seh-z)
annexation,an´-əks-ā′-shən,åh´-neh-k-seh′-ee-shuh-n
annexationist,an´-ək-sā′-shən-ist,åh´-neh-k-seh′-ee-shuh-nih-st
annexationists,an´-ək-sā′-shən-ists,åh´-neh-k-seh′-ee-shuh-nih-sts
annexing,an´-əks-iŋ,åh´-neh-k-sih-eeng
annihilate,ə-nī ′-ə-lāt´,uh-nah′-ee-ih-leh´-ee-t
annihilated,ə-nī ′-ə-lāt´-ed,uh-nah′-ee-ih-leh´-ee-teh-d
annihilates,ə-nī ′-ə-lāts´,uh-nah′-ee-ih-leh´-ee-ts
annihilating,ə-nī ′-ə-lāt´-iŋ,uh-nah′-ee-ih-leh´-ee-tih-eeng
annihilation,ə-nī ´-ə-lā′-shən,uh-nah´-ee-ih-leh′-ee-shuh-n
annihilator (annihilators),ə-nī ′-ə-lā´-tẽr (z),uh-nah′-ee-ih-leh´-ee-terh (z)
anniversaries,an´-ə-vũr′-sẽr-ēz,åh´-nih-verh′-serh-ee-z
anniversary,an´-ə-vũr′-sẽr-i,åh´-nih-verh′-serh-ee
Anno Domini (A.D.),an´-ō dom′-ə-ni (än´-ō dom′-ə-ni),åh´-noh-oo dah′-mih-nee (ah´-noh-oo dah′-mih-nee)
anno hegirae,an´-ō həj′-ə-ri (an´-ō hə-jī ′-ri),åh´-noh-oo heh′-jih-ree (åh´-noh-oo heh-jah′-ee-ree)
annotate,an′-ō-tāt´,åh′-noh-oo-teh´-ee-t
annotated,an′-ō-tāt´-ed,åh′-noh-oo-teh´-ee-teh-d
annotates,an′-ō-tāts´,åh′-noh-oo-teh´-ee-ts
annotating,an′-ō-tāt´-iŋ,åh′-noh-oo-teh´-ee-tih-eeng
annotation (annotations),an-ō-tā′-shən (z),åh´-noh-oo-teh′-ee-shuh-n (z)
annotator (annotators),an′-ō-tāt´-ẽr (z),åh′-noh-oo-teh´-ee-terh (z)
announce,ə-nouns´,uh-nah´-oo-n-s
announced,ə-nounsd´,uh-nah´-oo-n-sd
announces,ə-nouns´-ez,uh-nah´-oo-n-seh-z
announcement,ə-nouns´-mənt,uh-nah´-oo-n-s-meh-n-t
announcements,ə-nouns´-mənts,uh-nah´-oo-n-s-meh-n-ts
announcer,ə-nouns´-ẽr,uh-nah´-oo-n-serh
announcers,ə-nouns´-ẽrz,uh-nah´-oo-n-serh-z
announcing,ə-nouns´-iŋ,uh-nah´-oo-n-sih-eeng
annoy,ə-noi´,uh-noh´-ee
annoyance,ə-noi´-ens,uh-noh´-ee-eh-s
annoyances,ə-noi´-ens-ez,uh-noh´-ee-eh-seh-z
annoyed,ə-noid´,uh-noh´-ee-d
annoyer (annoyers),ə-noi´-ẽr (z),uh-noh´-ee-erh (z)
annoying,ə-noi´-iŋ,uh-noh´-ee-ih-eeng
annoyingly,ə-noi´-iŋ-li,uh-noh´-ee-ih-eeng-lee
annoys,ə-noiz´,uh-noh´-ee-z
annual (annuals),an´-ū-əl (z),åh´-yoo-uh-l (z)
annualize,an′-ū-əl-īz´,åh′-yoo-uh-lah´-ee-z
annualized,an′-ū-əl-īzd´,åh′-yoo-uh-lah´-ee-zd
annualizes,an′-ū-əl-īz´-ez,åh′-yoo-uh-lah´-ee-zeh-z
annualizing,an′-ū-əl-īz´-iŋ,åh′-yoo-uh-lah´-ee-zih-eeng
annually,an´-ū-əl-li,åh´-yoo-uh-lee
annuitant,ə-nōō´-ə-tənt,uh-noo´-ih-teh-n-t
annuitants,ə-nōō´-ə-tənts,uh-noo´-ih-teh-n-ts
annuities,ə-nōō´-ə-tēz,uh-noo´-ih-tee-z
annuity,ə-nōō´-ə-ti,uh-noo´-ih-tee
annul (annuls),ə-nul´ (z),uh-nuh´-l (z)
annular,an´-ū-lẽr,åh´-n-yoo-lerh
annularly,an´-ū-lẽr-li,åh´-n-yoo-lerh-lee
annularity,an´-ū-lâr′-ə-ti,åh´-n-yoo-leh′-rih-tee
annulate (annulates),an′-ū-lāt´ (s),åh′-n-yoo-leh´-ee-t (s)
annulated,an′-ū-lāt´-ed,åh′-n-yoo-leh´-ee-teh-d
annulating,an′-ū-lāt´-iŋ,åh′-n-yoo-leh´-ee-tih-eeng
annulation,an´-ū-lā′-shən,åh´-n-yoo-leh′-ee-shuh-n
annulet,an´-ū-lət,åh´-n-yoo-leh-t
annulled,ə-nul´-d,uh-nuh´-l-d
annulling,ə-nul´-iŋ,uh-nuh´-lih-eeng
annulment (annulments),ə-nul´-mənt (s),uh-nuh´-l-meh-n-t (s)
annuli,an′-ū-lī ´,åh′-n-yoo-lah´-ee
annulose,an′-ū-lōs´,åh′-n-yoo-loh´-oo-s
annulus,an′-ū-lus´,åh′-n-yoo-luh´-s
annuluses,an′-ū-lus´-ez,åh′-n-yoo-luh´-seh-z
annum,an´-əm,åh´-nuh-m
annunciate (annunciates),ə-nun′-si-āt´ (s),uh-nuh′-n-see-eh´-ee-t (s)
annunciated,ə-nun′-si-āt´-ed,uh-nuh′-n-see-eh´-ee-teh-d
annunciating,ə-nun′-si-āt´-iŋ,uh-nuh′-n-see-eh´-ee-tih-eeng
Annunciation,ə-nun´-si-ā′-shən,uh-nuh´-n-see-eh′-ee-shuh-n
annunciator (annunciators),ə-nun′-si-āt´-ẽr (z),uh-nuh′-n-see-eh´-ee-terh (z)
anociation,ə-nō´-si-ā′-shən,uh-noh´-oo-see-eh′-ee-shuh-n
anociassociation,ə-nō´-si-ə-sō´-si-ā′-shən,uh-noh´-oo-see-uh-soh´-oo-see- eh′-ee-shuh-n
anode (anodes),an´-ōd (z),åh´-noh-oo-d (z)
anodic,an-od´-ik,åh-nah´-dih-k
anodical,an-od´-ik-əl,åh-nah´-dih-kuh-l
anodically,an-od´-ik-əl-li (an-od´-ik-li),åh-nah´-dih-kuh-lee (åh-nah´-dih-klee)
anodize,an′-ōd-īz´,åh′-noh-oo-dah´-ee-z
anodized,an′-ōd-īzd´,åh′-noh-oo-dah´-ee-zd
anodizes,an′-ōd-īz´-ez,åh′-noh-oo-dah´-ee-zeh-z
anodizing,an′-ōd-īz´-iŋ,åh′-noh-oo-dah´-ee-zih-eeng
anodyne,an′-ə-dīn´,åh′-noh-dah´-ee-n
anoint (anoints),ə-noint´ (s),uh-noh´-ee-n-t (s)
anointed,ə-noint´-ed,uh-noh´-ee-n-teh-d
anointer (anointers),ə-noint´-ẽr (z),uh-noh´-ee-n-terh (z)
anointing,ə-noint´-iŋ,uh-noh´-ee-n-tih-eeng
anointment (anointments),ə-noint´-mənt (s),uh-noh´-ee-n-t-meh-n-t (s)
annole (annoles),ə-nōl´-i (z),uh-noh´-oo-lee (z)
anomalies,ə-nom´-ə-lēz,uh-nah´-muh-lee-z
anomalism,ə-nom′-ə-liz´-‘m,uh-nah′-muh-lih´-zih-m
anomalist (anomalists),ə-nom′-ə-list´ (s),uh-nah′-muh-lih´-st (s)
anomalistic,ə-nom´-ə-list′-ik,uh-nah´-muh-lih′-stih-k
anomalous,ə-nom´-ə-ləs,uh-nah´-muh-luh-s
anomalously,ə-nom´-ə-ləs-li,uh-nah´-muh-luh-s-lee
anomalousness,ə-nom´-ə-ləs-nes,uh-nah´-muh-luh-s-neh-s
anomaly,ə-nom´-ə-li,uh-nah´-muh-lee
anomic,an-om´-ik,åh-nah´-mih-k
anomy (anomie),an′-ə-mē´,åh′-nuh-mee´
anon (anonymous),ə-non´,uh-nah´-n
anona oil,ə-nōn´-ə oil´,uh-noh´-oo-nuh oh´-ee-l
anonym,an′-ə-nim´,åh′-nuh-nih´-m
anonymity,an´-ə-nim′-ə-ti,åh´-nuh-nih′-mih-tee
anonymous,ə-non´-ə-məs,uh-nah´-nih-muh-s
anonymously,ə-non´-ə-məs-li,uh-nah´-nih-muh-s-lee
anopheles,ə-nof ′-ə-lēz´,uh-nah′-fuh-lee´-z
anorak,ä´-nə-räk,ah′-noh-rah-k
anorexia,an´-ə-rek′-si-ə,åh´-noh-reh′-k-see-uh
anorexic,an´-ə-rek′-sik,åh´-noh-reh′-k-sih-k
anosmia,an-oz´-mi-ə,åh-nah´-z-mee-uh
another,ə-nuth´-ẽr,uh-nuh´-therh
anovulation,an´-ov-yə-lā′-shən,åh´-nah-v-yuh-leh′-ee-shuh-n
anoxemia,an´-ok-sē′-mi-ə,åh´-nah-k-see′-mee-uh
anoxia,an-oks´-i-ə (ə-noks´-i-ə),åh-nah´-k-see-uh (uh-nah´-k-see-uh)
anschluss,an´-shlōōs,åh´-n-shloo-s
anserine (anserous),an′-sə-rīn´ (an′-sə-rəs´),åh′-n-sih-rah´-ee-n (åh′-n-sih-ruh´-s)
answer (answers),an´-sẽr (an´-sẽr-z),åh´-n-serh (åh´-n-serh-z)
answerable,an´-sẽr-ə-b’l,åh´-n-serh-uh-bôô-l
answerably,an´-sẽr-ə-bli,åh´-n-serh-uh-blee
answered,an´-sẽrd,åh´-n-serh-d
answering,an´-sẽr-iŋ,åh´-n-serh-ih-eeng
ant (ants),ant (s),åh´-n-t (s)
/ bears,/ bâr(z),/ beh´- erh(z)
/ cattle,/ ka t´-‘l,/ kåh´-tôô-l
/ cows,/´ kou(z),/´ kah´- oo(z)
anta (antae),an´-tə (an´-ti),åh´-n-tuh (åh´-n-tee)
antagonism,an-tag´-ə-niz-'m,åh-n-tåh´-guh-nih-zih-m
antagonist (antagonists),an-tag´-ə-nist (s),åh-n-tåh´-guh-nih-st (s)
antagonistic,an-tag´-ə-nis′-tik,åh-n-tåh´-guh-nih′-stih-k
antagonistical,an-tag´-ə-nis′-tik-əl,åh-n-tåh´-guh-nih′-stih-kuh-l
antagonistically,an-tag´-ə-nis′-tik-əl-li (an-tag´-ə-nis′-tik-li),åh-n-tåh´-guh-nih′-stih-kuh-lee (åh-n-tåh´-guh-nih′-stih-klee)
antagonize,an-tag′-ə-nīz´,åh-n-tåh′-guh-nah´-ee-z
antagonized,an-tag′-ə-nīzd´,åh-n-tåh′-guh-nah´-ee-zd
antagonizer (antagonizers),an-tag′-ə-nīz´-ẽr (z),åh-n-tåh′-guh-nah´-ee-zerh (z)
antagonizes,an-tag′-ə-nīz´-ez,åh-n-tåh′-guh-nah´-ee-zeh-z
antagonizing,an-tag′-ə-nīz´-iŋ,åh-n-tåh′-guh-nah´-ee-zih-eeng
antalkali,an-t-al′-kə-lī´,åh-n-t-åh′-l-kuh-lah´-ee
antalkaline,an-t-al′-kə-līn´,åh-n-t-åh′-l-kuh-lah´-ee-n
Antarctic (Circle),ant-ärk´-tik (sũr´-k’l),åh-n-tah´-erh-k-tih-k (serh´-kôô-l)
Antares,an-târ´-əs,åh-n-teh´-erh-eh-s
ante (antes),an´-ti (an´-tēz),åh´-n-tee (åh´-n-tee-z)
anted (anteed),an´-tēd,åh´-n-tee-d
anteing,an´-ti-iŋ,åh´-n-tee-ih-eeng
ante-,an´-tə-,åh´-n-tih-
anteater (anteaters),ant′-ēt´-ẽr (z),åh′-n-t-ee´-terh (z)
antebellum,an´-ti-bəl′-əm,åh´-n-tee-beh′-luh-m
antecede (antecedes),an´-tə-sēd′ (z),åh´-n-tih-see′-d (z)
anteceded,an´-tə-sēd′-ed,åh´-n-tih-see′-deh-d
antecedence,an´-tə-sēd′-əns,åh´-n-tih-see′-deh-n-s
antecedent (antecedents),an´-tə-sēd′-ənt (s),åh´-n-tih-see′-deh-n-t (s)
antecedently,an´-tə-sēd′-ənt-li,åh´-n-tih-see′-deh-n-t-lee
anteceding,an´-tə-sēd′-iŋ,åh´-n-tih-see′-dih-eeng
antecessor (antecessors),an′-tə-səs´-ẽr (z),åh′-n-tih-seh´-serh (z)
antechamber (antechambers),an′-tə-chām´-bẽr (z),åh′-n-tih-cheh´-ee-m-berh (z)
antechoir,an′-tə-kwīr´,åh′-n-tih-kwuh-ee-erh
antedate (antedates),an′-tə-dāt´ (s),åh′-n-tih-deh´-ee-t (s)
antedated,an′-tə-dāt´-ed,åh′-n-tih-deh´-ee-teh-d
antedating,an′-tə-dāt´-iŋ,åh′-n-tih-deh´-ee-tih-eeng
antediluvian,an´-ti-də-lōō′-vi-ən,åh´-n-tee-dih-loo′-vee-eh-n
anteflexion,an´-tə-flek′-shən,åh´-n-tih-fleh′-k-shuh-n
antelope (antelopes),an′-tə-lōp´ (s),åh′-n-tih-loh´-oo-p (s)
antemeridian (A.M.),an´-tə mə-rid′-i-ən,åh´-n-tih mih-rih´-dee-eh-n
ante meridiem (A.M.),an´-tə mə-rid′-i-əm,åh´-n-tih mih-rih´-dee-eh-m
antemortem,an´-ti-môr′-təm,åh´-n-tee-moh′-erh-teh-m
antemundane,an´-ti-mun′-dān,åh´-n-tee-muh′-n-deh-ee-n
antenna (antennas),an-tən´-ə (z),åh-n-teh´-nuh (z)
antennae,an-tən´-ā,åh-n-teh´-neh-ee
antennule,an-tən´-ūl,åh-n-teh´-n-yoo-l
antependia,an´-tə-pən′-di-ə,åh´-n-tih-peh′-n-dee-uh
antependium,an´-tə-pən′-di-əm,åh´-n-tih-peh′-n-dee-uh-m
antepenult,an´-ti-pē′-nəlt,åh´-n-tee-pee′-nuh-l-t
antepenultimate,an´-ti-pi-nul′-tə-mit,åh´-n-tee-pee′-nuh′-l-tih-mih-t
anterior (anteriors),an-têr´-i-ẽr (z),åh-n-tih´-ree-erh (z)
anteriority,an-têr´-i-ôr′-ə-ti,åh-n-tih´-ree-oh′-erh-ih-tee
anteriorly,an-têr´-i-ẽr-li,åh-n-tih´-ree-erh-lee
anteroom (anterooms),an′-ti-rōōm´ (z),åh′-n-tee-roo´-m (z)
antetype,an′-ti-tīp´,åh′-n-tee-tuh´-ee-p
antevert,an´-tə-vũrt′,åh´-n-tih-verh′-t
anteversion,an´-tə-vũr′-zhən,åh´-n-tih-verh′-zhuh-n
anthelia,ant´-hē′-li-ə,åh-n-t-hee′-lee-uh
anthelion,ant´-hē′-li-ən,åh-n-t-hee′-lee-uh-n
anthem (anthems),an´-thəm (z),åh´-n-theh-m (z)
anther,an´-thẽr,åh´-n-therh
antherid,an´-thẽr-id,åh´-n-therh-ih-d
Antheridia,an´-thẽr-id′-i-ə,åh´-n-therh-ih′-dee-uh
Antheridial,an´-thẽr-id′-i-əl,åh´-n-therh-ih′-dee-uh-l
antheridium,an´-thẽr-id′-i-əm,åh´-n-therh-ih′-dee-uh-m
anthesis,an-thē´-sis,åh-n-thee´-sih-s
ant hill (ant hills),ant′-hil´ (z),åh′-n-t hih´-l (z)
anthocyanin,an´-thō-sī ′-ə-nin,åh´-n-thoh-sah′-ee-uh-nih-n
anthodia (anthodium),an-thō´-di-ə (an-thō´-di-əm),åh-n-thoh´-dee-uh (åh-n-thoh´-dee-uh-m)
anthologies,an-thol´-ə-jēz,åh-n-thah´-luh-jee-z
anthologist (anthologists),an-thol´-ə-jist (s),åh-n-thah´-luh-jih-st (s)
anthologize,an-thol′-ə-jīz´,åh-n-thah′-luh-jah´-ee-z
anthologized,an-thol′-ə-jīzd´,åh-n-thah′-luh-jah´-ee-zd
anthologizes,an-thol′-ə-jīz´-ez,åh-n-thah′-luh-jah´-ee-zeh-z
anthologizing,an-thol′-ə-jīz´-iŋ,åh-n-thah′-luh-jah´-ee-zih-eeng
anthology,an-thol´-ə-ji,åh-n-thah´-luh-jee
Anthony (Antony),an ´-thō-ni (an´-tō-ni),åh ´-n-thoh-oo-nee (åh ´-n-toh-oo-nee)
anthophore,an′-thə-fôr´,åh′-n-thoh-foh´-erh
anthotaxy,an′-thə-tak´-si,åh′-n-thoh-tåh´-k-see
anthozoan,an´-thə-zō′-ən,åh´-n-thoh-zoh′-oo-eh-n
